Dataset,Model,Prediction_Lag,Timestep,Train_RMSE,Train_MAE,Test_RMSE,Test_MAE,Status,Model_File,Data_Shape_Train,Data_Shape_Test,INTERP_Fixed,Warnings,Notes
interp,GRU,3,12,0.5295,0.4125,1.2801,1.2798,Success,GRUModel_lag3_t12.h5,"(7, 12, 23)","(2, 12, 23)",Yes,,
interp,GRU,3,18,0.4271,0.3549,1.1252,1.1241,Success,GRUModel_lag3_t18.h5,"(7, 18, 23)","(2, 18, 23)",Yes,,
interp,LR,6,N/A,0.6098,0.5027,1.484,1.4829,Success,LRModel_lag6.pickle,"(6, 23)","(2, 23)",Yes,,
interp,DynLR,6,N/A,0.6098,0.5027,1.484,1.4829,Success,DynLRModel_lag6.pickle,"(6, 23)","(2, 23)",Yes,,
interp,RF,6,N/A,0.6785,0.5172,0.7727,0.7712,Success,RFModel_lag6.pickle,"(6, 23)","(2, 23)",Yes,,
interp,NN,6,N/A,0.3347,0.2974,0.6773,0.677,Success,NNModel_lag6.h5,"(6, 23)","(2, 23)",Yes,,
interp,DynNN,6,N/A,0.4034,0.3432,0.9348,0.9346,Success,DynNNModel_lag6.h5,"(6, 23)","(2, 23)",Yes,,
interp,Ensemble,6,N/A,0.6098,0.5027,1.484,1.4829,Success,EnsembleModel_lag6.pickle,"(6, 23)","(2, 23)",Yes,,
interp,RNN,6,6,0.7343,0.639,0.8026,0.7947,Success,RNNModel_lag6_t6.h5,"(7, 6, 23)","(2, 6, 23)",Yes,,
interp,RNN,6,12,0.9442,0.8099,0.5506,0.5426,Success,RNNModel_lag6_t12.h5,"(7, 12, 23)","(2, 12, 23)",Yes,,
interp,RNN,6,18,0.5803,0.5412,1.1189,1.1183,Success,RNNModel_lag6_t18.h5,"(7, 18, 23)","(2, 18, 23)",Yes,,
interp,LSTM,6,6,0.3469,0.309,0.7214,0.7204,Success,LSTMModel_lag6_t6.h5,"(7, 6, 23)","(2, 6, 23)",Yes,,
interp,LSTM,6,12,1.6656,1.6601,1.7116,1.7081,Success,LSTMModel_lag6_t12.h5,"(7, 12, 23)","(2, 12, 23)",Yes,,
interp,LSTM,6,18,0.3555,0.2806,1.0238,1.0232,Success,LSTMModel_lag6_t18.h5,"(7, 18, 23)","(2, 18, 23)",Yes,,
interp,GRU,6,6,0.5376,0.4618,0.5818,0.5793,Success,GRUModel_lag6_t6.h5,"(7, 6, 23)","(2, 6, 23)",Yes,,
interp,GRU,6,12,0.324,0.2503,1.0112,1.0099,Success,GRUModel_lag6_t12.h5,"(7, 12, 23)","(2, 12, 23)",Yes,,
interp,GRU,6,18,0.3026,0.2373,0.9434,0.942,Success,GRUModel_lag6_t18.h5,"(7, 18, 23)","(2, 18, 23)",Yes,,
interp,LR,12,N/A,0.6098,0.5027,1.484,1.4829,Success,LRModel_lag12.pickle,"(6, 23)","(2, 23)",Yes,,
interp,DynLR,12,N/A,0.6098,0.5027,1.484,1.4829,Success,DynLRModel_lag12.pickle,"(6, 23)","(2, 23)",Yes,,
interp,RF,12,N/A,0.6785,0.5172,0.7727,0.7712,Success,RFModel_lag12.pickle,"(6, 23)","(2, 23)",Yes,,
interp,NN,12,N/A,0.5392,0.4653,1.0106,1.0095,Success,NNModel_lag12.h5,"(6, 23)","(2, 23)",Yes,,
interp,DynNN,12,N/A,0.4231,0.3656,0.8269,0.826,Success,DynNNModel_lag12.h5,"(6, 23)","(2, 23)",Yes,,
interp,Ensemble,12,N/A,0.6098,0.5027,1.484,1.4829,Success,EnsembleModel_lag12.pickle,"(6, 23)","(2, 23)",Yes,,
interp,RNN,12,6,0.3652,0.303,0.8127,0.807,Success,RNNModel_lag12_t6.h5,"(7, 6, 23)","(2, 6, 23)",Yes,,
interp,RNN,12,12,1.1143,0.9344,0.3526,0.3506,Success,RNNModel_lag12_t12.h5,"(7, 12, 23)","(2, 12, 23)",Yes,,
interp,RNN,12,18,0.8438,0.7197,0.5162,0.5133,Success,RNNModel_lag12_t18.h5,"(7, 18, 23)","(2, 18, 23)",Yes,,
interp,LSTM,12,6,0.5716,0.5015,0.8854,0.874,Success,LSTMModel_lag12_t6.h5,"(7, 6, 23)","(2, 6, 23)",Yes,,
interp,LSTM,12,12,0.4374,0.3814,1.021,1.021,Success,LSTMModel_lag12_t12.h5,"(7, 12, 23)","(2, 12, 23)",Yes,,
interp,LSTM,12,18,0.4303,0.3311,1.1469,1.1461,Success,LSTMModel_lag12_t18.h5,"(7, 18, 23)","(2, 18, 23)",Yes,,
interp,GRU,12,6,0.3958,0.3292,1.0526,1.0521,Success,GRUModel_lag12_t6.h5,"(7, 6, 23)","(2, 6, 23)",Yes,,
interp,GRU,12,12,0.6721,0.5646,1.4865,1.4861,Success,GRUModel_lag12_t12.h5,"(7, 12, 23)","(2, 12, 23)",Yes,,
interp,GRU,12,18,0.2553,0.2086,0.7976,0.7968,Success,GRUModel_lag12_t18.h5,"(7, 18, 23)","(2, 18, 23)",Yes,,
